CSDP Network Summary Report for Elevation=0.0

Network path: D:\dsm2GisReference\csdpFiles\final\delta_2019Calib_navd88.cdn
DSM2 channels path: D:\delta\dsm2_v8.2beta_2_newGeomTest\common_input\channel_std_delta_grid_NAVD_20150129.inp
DSM2 output path: D:\delta\dsm2_v8.2beta_2_newGeomTest\studies\testGeom\output\historical_v82.hof

Channels.inp length: length specified for DSM2 in the DSM2 channels file above.
CSDP length: length calculated by the CSDP that will be used to replace the 'Channels.inp length'.
% change: the change in length CSDP vs Channels.inp
CSDP Average width
CSDP Volume: Channel volume calculated by CSDP for specified elevation assuming no inter-channel interpolation.
CSDP Wetted Area: Wetted area calculated by CSDP for specified elevation assuming no inter-channel interpolation.
CSDP Surface Area: Surface area calculated by CSDP for specified elevation assuming no inter-channel interpolation.
CSDP Max Area Ratio: The maximum ratio of cross-sectional areas within a channel using CSDP cross-sections
DSM2 Volume: Channel volume calculated at specified elevation using virtual cross-sections from DSM2 output file
DSM2 Wetted Area: Wetted area calculated at specified elevation using virtual cross-sections from DSM2 output file
DSM2 Surface Area: Surface area calculated at specified elevation using virtual cross-sections from DSM2 output file
DSM2 Max Area Ratio: The maximum ratio of cross-sectional areas within a channel using virtual cross-sections
GIS 2m Volume: Channel volume calculated at specified elevation using CutFill operation with 2m DEM
GIS 2m Area: Channel 2D area calculated at specified elevation using CutFill operation with 2m DEM
GIS 10m Volume: Channel volume calculated at specified elevation using CutFill operation with 10m DEM
GIS 10m Area: Channel 2D area calculated at specified elevation using CutFill operation with 10m DEM
CSDP highest bottom elevation: The highest bottom elevation of all the cross-sections within the chanenl.
CSDP XS with no points: The indices of the cross-sections in the channel that have no points.
CSDP XS within 500.0 feet: The indices of the cross-sections in the channel that are within 500.0 feet of each other.
CSDP XS with Min area: The index of the cross-section in the channel that has the smallest area at the specified elevation
CSDP XS with Max area: The index of the cross-section in the channel that has the largest area at the specified elevation
CSDP XS with duplicate stations: The indices of the cross-sections in the channel that have duplicate station values.
CSDP XS with -dK: The indices of the cross-sections in the channel that have negative dConveyance at any elevation.
CSDP XS with -dK in intertidal zone: the indices of the cross-sections in the channel that have negative dConveyance in the intertidal zone.
(intertidal zone is assumed to be limited to the range -2.5 < Z < 17.5 ft NAVD88)

Channel	Channels.inp length	CSDP Length	% change	CSDP Average Width	CSDP Volume	CSDP Wetted Area	CSDP Surface Area	CSDP Max Area Ratio	DSM2 Volume	DSM2 Wetted Area	DSM2 Surface Area	DSM2 Max Area Ratio	GIS 2m Max Volume	GIS 2m Max Area	GIS 10m Max Volume	GIS 10m Max Area	DSM2-2m Vol	DSM2-10m Vol	2m Vol % diff	10m Vol % diff	CSDP Avg Width	2m Width Ratio	10m Width Ratio	2m Validity	10m Validity	Valid 2m Max Vol	Valid 10m Max Vol	DSM2-Valid 2m Max Vol	DSM2-Valid 10m Max Vol	Valid 2m Vol % diff	Valid 10m Vol % diff	CSDP Highest Bottom Elevation	CSDP XS with no points	CSDP XS within 500.0 feet	CSDP XS with Min area	CSDP XS with Max area	CSDP XS with duplicate stations	CSDP XS With -dk	CSDP XS with -dk in intertidal zone
33	2397.0	2440	2	393	7010284.3	962445.1	958245.4	3.42	6938849.7	960675.4	956539.1	2.32	1939314.1	463924.1	1929913.0	466076.9	4999535.6	5008936.7	257.8	259.5	392.8	59.9	12.0	true	true	1939314.1	1929913.0	4999535.6	5008936.7	257.8	259.5	-6.47			1	0			
34	5988.0	5988	-0	830	84579763.1	3719032.1	3643565.3	1.00	84591007.8	3724457.5	3647285.1	1.00	84933425.6	3380941.0	85985538.2	3530559.2	-342417.8	-1394530.5	-0.4	-1.6	830.5	126.6	25.3	true	true	84933425.6	85985538.2	-342417.8	-1394530.5	-0.4	-1.6	-35.60			0	0	0		
35	7239.0	5895	-19	571	49705870.1	3403411.6	3365405.8	2.84	53852138.1	3462801.0	3420936.1	1.41	52506961.3	4350854.5	52372512.4	4394900.4	1345176.9	1479625.8	2.6	2.8	570.9	87.0	17.4	true	true	52506961.3	52372512.4	1345176.9	1479625.8	2.6	2.8	-18.74			0	2		2	
36	5532.0	5492	-1	636	90860076.8	3567207.3	3493826.1	1.18	91931780.4	3556895.3	3485760.7	1.10	87954993.0	4537758.9	92331660.4	4609102.0	3976787.4	-399880.0	4.5	-0.4	636.2	97.0	19.4	true	true	87954993.0	92331660.4	3976787.4	-399880.0	4.5	-0.4	-34.30			1	4		0,2	
37	5291.0	5227	-1	791	107269544.7	4180009.4	4134356.9	1.28	107138301.5	4180786.5	4135208.3	1.12	34469122.9	1451016.8	121224417.4	4827609.1	72669178.5	-14086116.0	210.8	-11.6	791.0	120.5	24.1	false	true		121224417.4		-14086116.0		-11.6	-35.35			0	1			
38	4791.0	4790	-0	554	73563992.4	2744953.5	2651560.1	1.04	73580290.7	2746095.4	2652786.4	1.02	null	null	91783011.3	3219482.5		-18202720.6		-19.8	553.5		16.9		true		91783011.3		-18202720.6		-19.8	-35.88			0	1			
39	4316.0	4316	0	3204	130656364.8	7633317.4	7589305.7	1.00	130922180.6	5728389.6	5662690.2	1.00	null	null	112432928.9	5581082.1		18489251.6		16.4	3204.0		97.7		true		112432928.9		18489251.6		16.4	-37.26			0	0			
40	5753.0	5753	-0	1346	153211054.2	7813732.9	7742247.5	1.25	154451581.0	7628684.7	7554305.1	1.09	null	null	127372424.3	7342056.2		27079156.6		21.3	1345.8		41.0		true		127372424.3		27079156.6		21.3	-29.08			1	0		1	
41	6359.0	6359	-0	661	118962764.8	4324942.8	4206173.0	1.25	118280252.2	4296391.0	4170244.8	1.00	null	null	100858535.9	3624205.1		17421716.3		17.3	661.5		20.2		true		100858535.9		17421716.3		17.3	-36.87			1	0			
42	8762.0	8714	-1	2127	368632513.9	18619739.6	18538053.5	1.30	378768567.4	20027963.1	19934255.8	1.01	10008412.6	559077.0	441255038.1	23264017.1	368760154.8	-62486470.7	3684.5	-14.2	2127.3	324.2	64.8	false	true		441255038.1		-62486470.7		-14.2	-36.77			1	3		4,5	
43	2492.0	1962	-21	2269	89470178.6	4465396.2	4450695.6	1.27	89228547.7	4829584.3	4466626.5	1.15	4520076.0	167572.4	111082232.1	6201082.8	84708471.7	-21853684.4	1874.0	-19.7	2268.9	345.8	69.2	false	true		111082232.1		-21853684.4		-19.7	-36.26			1	0			
44	3619.0	3619	-0	2354	195041305.2	8558222.2	8519248.1	1.02	195025718.2	8554756.1	8515757.1	1.01	3957688.7	125808.5	198052357.9	8986780.1	191068029.5	-3026639.7	4827.8	-1.5	2354.3	358.8	71.8	false	true		198052357.9		-3026639.7		-1.5	-35.35			1	0		0	
45	12421.0	12421	-0	2919	724320621.7	36440414.0	36256466.6	1.14	723365322.8	36279372.2	36094195.7	1.13	1810509.7	72118.1	716788163.5	33325034.4	721554813.1	6577159.3	39853.7	0.9	2919.0	444.9	89.0	false	true		716788163.5		6577159.3		0.9	-37.17			2	3		3	
46	11780.0	11730	-0	2352	731105908.3	27787383.3	27588843.7	1.20	732802115.3	27244900.7	27050402.7	1.19	5988801.8	439511.6	746732481.7	27679368.8	726813313.5	-13930366.4	12136.2	-1.9	2351.9	358.4	71.7	false	true		746732481.7		-13930366.4		-1.9	-44.04			6	2		3,6	
47	14248.0	14328	1	2069	879597828.4	29835531.6	29640949.0	1.56	891755779.6	29879941.5	29689131.9	1.20	347454467.2	10441973.3	818334948.3	26341416.1	544301312.4	73420831.3	156.7	9.0	2068.7	315.3	63.1	false	true		818334948.3		73420831.3		9.0	-44.68			5	7		1,5,6	
48	9015.0	9388	4	1693	368827386.3	15977968.4	15894084.7	1.51	365323309.4	16947492.3	15204891.8	1.24	29911122.9	900895.4	410629841.3	18777623.6	335412186.5	-45306531.9	1121.4	-11.0	1693.0	258.0	51.6	false	true		410629841.3		-45306531.9		-11.0	-35.17			3	0		0,1,2	1
49	12948.0	13145	2	3814	874769697.2	50221019.3	50135312.0	1.19	874373075.2	50259906.3	50118979.3	1.19	null	null	810374331.3	44252545.7		63998743.8		7.9	3814.1		116.3		true		810374331.3		63998743.8		7.9	-38.39			3	4		0,3	
50	9721.0	8929	-8	3204	592314560.1	28630293.8	28611446.9	1.53	591414601.0	28645067.3	28567319.8	1.34	null	null	721678213.4	37674726.4		-130263612.4		-18.1	3204.5		97.7		true		721678213.4		-130263612.4		-18.1	-35.60			2	0			
51	11539.0	14042	22	2064	588819995.5	29050146.5	28978522.7	1.18	589185632.3	29230366.9	29158740.3	1.17	null	null	539205039.7	25277942.8		49980592.6		9.3	2063.7		62.9		true		539205039.7		49980592.6		9.3	-36.44			2	5		2	
52	8783.0	6870	-22	1694	456846836.1	11699673.8	11636498.5	1.26	461494587.8	11788662.4	11724459.8	1.05	null	null	438330682.7	11529213.3		23163905.1		5.3	1693.9		51.6		true		438330682.7		23163905.1		5.3	-50.10			2	0			
53	11276.0	11740	4	2212	411587504.0	26004613.0	25963015.5	1.24	414351077.0	26346052.4	26302155.6	1.10	null	null	409179633.9	26629888.6		5171443.2		1.3	2211.6		67.4		true		409179633.9		5171443.2		1.3	-23.19			0	3		1,2	
54	3787.0	3729	-2	141	2268549.2	530795.3	524317.5	2.19	2080652.8	531180.4	525289.2	1.27	2569825.2	585082.5	2590177.4	592014.5	-489172.3	-509524.5	-19.0	-19.7	140.6	21.4	4.3	true	true	2569825.2	2590177.4	-489172.3	-509524.5	-19.0	-19.7	-5.28			1	0			
55	4762.0	4762	0	152	3135810.9	734861.6	724651.5	1.49	3335506.3	676167.2	664882.7	1.32	3732986.0	752095.2	3690167.2	744861.9	-397479.8	-354660.9	-10.6	-9.6	152.2	23.2	4.6	true	true	3732986.0	3690167.2	-397479.8	-354660.9	-10.6	-9.6	-4.25			2	1		0	
56	4214.0	4215	0	173	2924599.5	734990.7	727164.7	1.28	3145065.0	731673.1	723538.4	1.11	4759201.3	748263.3	4722170.5	751320.2	-1614136.3	-1577105.5	-33.9	-33.4	172.5	26.3	5.3	true	true	4759201.3	4722170.5	-1614136.3	-1577105.5	-33.9	-33.4	-4.76			0	1			
57	4378.0	4379	0	170	3965842.9	753988.9	743085.7	1.19	3793284.2	757453.4	746746.7	1.08	4371689.4	788692.5	4403620.3	783611.9	-578405.2	-610336.1	-13.2	-13.9	169.7	25.9	5.2	true	true	4371689.4	4403620.3	-578405.2	-610336.1	-13.2	-13.9	-7.97			2	0			
58	4975.0	4975	-0	160	5819821.3	813671.8	795045.4	1.36	5387458.4	810878.3	793739.1	1.35	5826594.8	815903.6	5821669.2	812674.5	-439136.4	-434210.8	-7.5	-7.5	159.8	24.4	4.9	true	true	5826594.8	5821669.2	-439136.4	-434210.8	-7.5	-7.5	-9.37			1	2		0	
59	4762.0	2087	-56	148	2763361.2	316527.1	308268.8	1.21	2687269.9	304729.5	295626.9	1.02	3054752.2	316717.0	3048547.1	318611.4	-367482.3	-361277.2	-12.0	-11.9	147.7	22.5	4.5	true	true	3054752.2	3048547.1	-367482.3	-361277.2	-12.0	-11.9	-12.54			0	2			
60	5875.0	5875	0	151	7009793.3	912594.1	889998.3	1.42	7315805.0	894341.3	869072.0	1.18	9034866.2	896503.7	9028572.1	897709.3	-1719061.2	-1712767.1	-19.0	-19.0	151.5	23.1	4.6	true	true	9034866.2	9028572.1	-1719061.2	-1712767.1	-19.0	-19.0	-9.56			1	2		2	
61	6003.0	5878	-2	171	8662993.8	1037076.3	1005086.2	1.42	9723067.8	992484.1	957679.4	1.06	9871254.2	1060287.2	9891075.2	1057015.0	-148186.5	-168007.5	-1.5	-1.7	171.0	26.1	5.2	true	true	9871254.2	9891075.2	-148186.5	-168007.5	-1.5	-1.7	-9.67			1	2		1	1
62	4600.0	4290	-7	244	7217720.4	1054561.5	1045230.9	1.21	7035543.0	982221.5	971387.7	1.04	6784783.0	952691.3	6721620.8	945070.4	250760.0	313922.2	3.7	4.7	243.6	37.1	7.4	true	true	6784783.0	6721620.8	250760.0	313922.2	3.7	4.7	-9.16			1	0			
63	3010.0	2974	-1	36	108832.3	108193.5	107632.8	Infinity	91504.1	99061.5	98534.3	32.02	295837.7	114183.5	302037.4	115173.7	-204333.6	-210533.3	-69.1	-69.7	36.2	5.5	1.1	true	false	295837.7		-204333.6		-69.1		0.86			0	2			
65	3161.0	2914	-8	131	851076.3	385709.5	381835.3	2.95	785109.5	389420.1	385889.8	1.90	740255.7	349869.8	716474.7	339062.9	44853.8	68634.7	6.1	9.6	131.0	20.0	4.0	true	true	740255.7	716474.7	44853.8	68634.7	6.1	9.6	-1.26			1	0			
66	2075.0	1767	-15	106	426620.2	189284.2	188203.7	4.76	407175.8	183193.9	182053.5	1.93	693588.5	191941.9	675480.2	187291.9	-286412.7	-268304.4	-41.3	-39.7	106.5	16.2	3.2	true	true	693588.5	675480.2	-286412.7	-268304.4	-41.3	-39.7	-2.13			2	0			
67	2887.0	567	-80	176	167704.0	64932.1	64610.2	1.00	167597.5	64906.5	64584.8	1.00	97100.6	52872.3	95331.1	51666.7	70496.9	72266.5	72.6	75.8	176.5	26.9	5.4	true	true	97100.6	95331.1	70496.9	72266.5	72.6	75.8	-5.19			0	0			
68	3769.0	5815	54	86	2242502.7	512366.8	498271.2	4.16	2566474.0	491045.7	472812.1	1.11	1732506.2	551757.5	1719142.3	547882.5	833967.8	847331.7	48.1	49.3	85.7	13.1	2.6	true	false	1732506.2		833967.8		48.1		-3.44			2	0			
69	7403.0	7430	0	6	8476.6	43071.9	42979.4	Infinity	6012.4	36641.2	36575.6	Infinity	26065.7	53388.9	24867.9	54895.9	-20053.3	-18855.5	-76.9	-75.8	5.8	0.9	0.2	false	false							0.46			2	1		0	0
70	3985.0	3965	-1	97	1623641.2	393592.8	386508.2	1.50	1702879.5	402030.5	394562.1	1.20	1853145.8	430211.6	1857334.2	440243.5	-150266.3	-154454.7	-8.1	-8.3	97.5	14.9	3.0	true	false	1853145.8		-150266.3		-8.1		179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00	2	1,2	0	1			
71	6019.0	6876	14	101	2634203.4	701755.3	691501.7	1.23	2711402.5	694134.9	683209.7	1.07	2197244.2	621852.0	2190333.9	613542.3	514158.3	521068.6	23.4	23.8	100.6	15.3	3.1	true	true	2197244.2	2190333.9	514158.3	521068.6	23.4	23.8	-4.86			2	0		0	0
72	4513.0	4455	-1	136	2698681.5	611832.4	605715.9	2.04	2574103.3	605194.2	599278.6	1.22	2675159.2	580647.8	2677336.2	584479.8	-101056.0	-103233.0	-3.8	-3.9	136.0	20.7	4.1	true	true	2675159.2	2677336.2	-101056.0	-103233.0	-3.8	-3.9	-5.54			0	1		0,1	0,1
73	4142.0	4022	-3	187	2739922.8	755932.1	752481.3	1.28	2588865.8	689422.2	684876.7	1.16	2919709.2	802943.9	2908796.1	797605.0	-330843.4	-319930.3	-11.3	-11.0	187.1	28.5	5.7	true	true	2919709.2	2908796.1	-330843.4	-319930.3	-11.3	-11.0	179769313486231570000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00	2	2,3	1	3			
74	3904.0	3494	-11	160	2373006.2	561972.5	557697.7	1.39	2379977.7	563635.6	559358.5	1.38	3054114.1	729017.4	3056854.8	725486.9	-674136.4	-676877.1	-22.1	-22.1	159.6	24.3	4.9	true	true	3054114.1	3056854.8	-674136.4	-676877.1	-22.1	-22.1	-5.41			2	0		0	
75	4282.0	4537	6	152	3049226.1	696103.5	689735.6	1.59	3002919.5	708577.3	702560.4	1.01	3559788.6	755238.3	3560195.9	750243.8	-556869.1	-557276.4	-15.6	-15.7	152.0	23.2	4.6	true	true	3559788.6	3560195.9	-556869.1	-557276.4	-15.6	-15.7	-6.83			0	2			
76	4686.0	3893	-17	191	2885477.6	752153.4	744549.7	1.20	2935477.7	734444.3	727194.3	1.06	5860450.0	1411491.7	5859092.2	1398230.6	-2924972.4	-2923614.5	-49.9	-49.9	191.3	29.2	5.8	true	true	5860450.0	5859092.2	-2924972.4	-2923614.5	-49.9	-49.9	-6.70			0	1		1	1
